Time step	Uncertainty	Uncertainty	Uncertainty	Uncertainty
	¦Î=0.5	¦Î=1	¦Î=1.5	¦Î=2
601	0.010209	0.010211	0.010249	0.01029
602	0.010209	0.010209	0.010248	0.010288
603	0.010209	0.010211	0.010249	0.010288
604	0.01021	0.010212	0.010248	0.010286
605	0.010212	0.010212	0.010248	0.010287
606	0.010211	0.010214	0.010246	0.010288
607	0.01021	0.010213	0.010244	0.010287
608	0.010208	0.010214	0.010245	0.010287
609	0.010207	0.010213	0.010246	0.010285
610	0.010208	0.010213	0.010247	0.010285
611	0.010208	0.010214	0.010247	0.010288
612	0.010206	0.010213	0.010248	0.010287
613	0.010206	0.010211	0.010248	0.010286
614	0.010204	0.01021	0.010248	0.010287
615	0.010205	0.010209	0.010248	0.010286
